date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:38:34	1603/1603	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2267069556-1233%22	https://slope-game.github.io/robots.txt		(from )
20:38:34	3062/3062	---M-Z	200	added ('OK')	text/html	etag:W/%2263bed097-bf6%22	https://slope-game.github.io/rungame/slope/	C:/Users/utpow/OneDrive/Desktop/slope%20actual/Slope%20actual/slope-game.github.io/rungame/slope/index.html	(from )
20:38:34	33179/33179	---M--	200	added ('OK')	image/png	etag:%2263bed097-819b%22	https://slope-game.github.io/rungame/slope/slope.png	C:/Users/utpow/OneDrive/Desktop/slope%20actual/Slope%20actual/slope-game.github.io/rungame/slope/slope.png	(from https://slope-game.github.io/rungame/slope/)
20:38:35	533/533	---M--	200	added ('OK')	image/png	etag:%2263bed097-215%22	https://slope-game.github.io/rungame/slope/TemplateData/icon16.png	C:/Users/utpow/OneDrive/Desktop/slope%20actual/Slope%20actual/slope-game.github.io/rungame/slope/TemplateData/icon16.png	(from https://slope-game.github.io/rungame/slope/)
20:38:35	1438/1438	---M-Z	200	added ('OK')	text/css	etag:W/%2263bed097-59e%22	https://slope-game.github.io/rungame/slope/TemplateData/style.css	C:/Users/utpow/OneDrive/Desktop/slope%20actual/Slope%20actual/slope-game.github.io/rungame/slope/TemplateData/style.css	(from https://slope-game.github.io/rungame/slope/)
20:38:35	3815/3815	---M--	200	added ('OK')	image/png	etag:%2263bed097-ee7%22	https://slope-game.github.io/rungame/slope/TemplateData/unity-logo-dark.png	C:/Users/utpow/OneDrive/Desktop/slope%20actual/Slope%20actual/slope-game.github.io/rungame/slope/TemplateData/unity-logo-dark.png	(from https://slope-game.github.io/rungame/slope/TemplateData/style.css)
20:38:35	999596/999596	---M--	200	added ('OK')	image/jpeg	etag:%2263bed097-f40ac%22	https://slope-game.github.io/rungame/slope/bg.jpg	C:/Users/utpow/OneDrive/Desktop/slope%20actual/Slope%20actual/slope-game.github.io/rungame/slope/bg.jpg	(from https://slope-game.github.io/rungame/slope/)
20:38:35	96/96	---M--	200	added ('OK')	image/png	etag:%2263bed097-60%22	https://slope-game.github.io/rungame/slope/TemplateData/progress-bar-empty-dark.png	C:/Users/utpow/OneDrive/Desktop/slope%20actual/Slope%20actual/slope-game.github.io/rungame/slope/TemplateData/progress-bar-empty-dark.png	(from https://slope-game.github.io/rungame/slope/TemplateData/style.css)
20:38:36	74/74	---M--	200	added ('OK')	image/png	etag:%2263bed097-4a%22	https://slope-game.github.io/rungame/slope/TemplateData/progress-bar-full-dark.png	C:/Users/utpow/OneDrive/Desktop/slope%20actual/Slope%20actual/slope-game.github.io/rungame/slope/TemplateData/progress-bar-full-dark.png	(from https://slope-game.github.io/rungame/slope/TemplateData/style.css)
20:38:36	5481/5481	---M--	200	added ('OK')	image/png	etag:%2263bed097-1569%22	https://slope-game.github.io/rungame/slope/TemplateData/webgl-logo.png	C:/Users/utpow/OneDrive/Desktop/slope%20actual/Slope%20actual/slope-game.github.io/rungame/slope/TemplateData/webgl-logo.png	(from https://slope-game.github.io/rungame/slope/TemplateData/style.css)
20:38:36	2000/2000	---M--	200	added ('OK')	image/png	etag:%2263bed097-7d0%22	https://slope-game.github.io/rungame/slope/TemplateData/fullscreen-button.png	C:/Users/utpow/OneDrive/Desktop/slope%20actual/Slope%20actual/slope-game.github.io/rungame/slope/TemplateData/fullscreen-button.png	(from https://slope-game.github.io/rungame/slope/TemplateData/style.css)
